"pval","Variance_hat","Variance_hat_comp1","Variance_hat_comp2","sdVariance_hat","Median_Variance","Median_Variance_comp1","Median_Variance_comp2","Q1_Variance","Q3_Variance","Method","delta","sigma"
0.0031632824501656,0.00153179314556253,0.00148395714547608,0.00157962914564897,0.000970872647562315,0.00128993877028759,0.00129160709734066,0.00127822676035153,0.000917523395899941,0.00165844365518563,"Individual hi",0.05,0.1
0.178986895909485,0.00591502566983481,0.0059474863837456,0.00588256495592401,0.00127887147548125,0.00606112236089394,0.00623700602799827,0.00591460127276195,0.00477471155474404,0.00672240869933804,"Change Point",0.05,0.1
0.125567306927893,0.00302377502274301,0.00306083228720125,0.00298671775828477,0.00125059372627022,0.00253817962528014,0.00321445993035952,0.00227146565259888,0.00214542146902655,0.00332136644652304,"Individual hi",0.125,0.1
0.0544741877790772,0.0087209080534395,0.00882035076096934,0.00862146534590965,0.00160834024963959,0.00826027428652696,0.00907996395314833,0.00787099287238036,0.00729400937509247,0.00990443540248189,"Change Point",0.125,0.1
0.26010116863667,0.00430869364661176,0.00445972267719219,0.00415766461603133,0.00104674179083912,0.00419343211615051,0.00432607307588686,0.00375792221470711,0.00362547882973212,0.00451376725230525,"Individual hi",0.2,0.1
0.146975973630349,0.0135530526056057,0.0136507545212967,0.0134553506899147,0.00173144987597894,0.0135957921971911,0.0137697035873897,0.0128976710742395,0.0122000259448233,0.0145647381845141,"Change Point",0.2,0.1
0.138655986367496,0.0039280312035703,0.00405197772905397,0.00380408467808662,0.00104415415952614,0.00377696219562609,0.00400860427263976,0.00335143273391703,0.0031506016634943,0.00452116292820989,"Individual hi",0.275,0.1
0.244607786239766,0.0199495361898826,0.0200413982801091,0.0198576740996561,0.00132931405473069,0.0197364929836873,0.0199257698269107,0.0194363852155546,0.0192674182851845,0.0203326549535502,"Change Point",0.275,0.1
0.0794297326478536,0.00371646813980936,0.00386269202401697,0.00357024425560175,0.00188776789846179,0.00315676140385997,0.00318379400313636,0.00281675822897054,0.00268061521187589,0.00377678612254203,"Individual hi",0.35,0.1
0.118455418316747,0.0262354005637369,0.0260159359636409,0.0264548651638328,0.00299297298743595,0.0259167900133339,0.0259633113381226,0.025819676706796,0.0241262377573739,0.027703916230309,"Change Point",0.35,0.1
0.0769236438093576,0.00372374357187622,0.00388242484028707,0.00356506230346538,0.00202980522296967,0.00310067891219426,0.00313115119973283,0.0027836053964561,0.00265791026641313,0.00367820556382946,"Individual hi",0.36,0.1
0.831293960485316,0.0267906520696784,0.0265458295282391,0.0270354746111177,0.00348546201538817,0.0261923364701072,0.0263490593867032,0.0259473849060498,0.0245500627070216,0.0288492327929191,"Change Point",0.36,0.1
0.0740934908863267,0.00375565263140364,0.00395557487593965,0.00355573038686762,0.00238501449811151,0.00305812561061677,0.00309150566322402,0.00272005853197376,0.00264261193142309,0.00353498319068012,"Individual hi",0.386666666666667,0.1
0.0121825139085631,0.0283524990180958,0.0276924389721089,0.0290125590640827,0.00489325251901801,0.0284153765572172,0.0276927031238069,0.0284153765572172,0.0248565662735418,0.0311331370515945,"Change Point",0.386666666666667,0.1
0.0759412689206788,0.00378821132277528,0.00403327555722518,0.00354314708832538,0.0026590120119496,0.00306920971357266,0.00309642352443332,0.00268981735644983,0.00268224126547773,0.0034128019059949,"Individual hi",0.413333333333333,0.1
0.00425183643988536,0.0291850566676341,0.0286950857704158,0.0296750275648524,0.00726265992182127,0.0294468565717701,0.0291108653898675,0.0294468565717701,0.0232760865168957,0.0328136893001133,"Change Point",0.413333333333333,0.1
0.0816333364378925,0.00381008848880102,0.00409576204033781,0.00352441493726423,0.00280851912862229,0.00311538181925561,0.00315672013189189,0.00270781492795821,0.00275109500154654,0.00345284920192863,"Individual hi",0.44,0.1
0.0823767784977946,0.0289550210233281,0.0290818421358712,0.028828199910785,0.0100532747052555,0.0279036051757335,0.0273260543540006,0.0284645042304037,0.0195794918625113,0.0353624348256653,"Change Point",0.44,0.1
0.0903891424815346,0.00382000946573796,0.00413627161284046,0.00350374731863546,0.00281260464598479,0.00320197107235514,0.00323551691698463,0.00275701108269196,0.00278906603678599,0.00352473055741413,"Individual hi",0.466666666666667,0.1
0.0200938268315698,0.0291303345560049,0.0293861591104911,0.0288745100015187,0.0120674916272221,0.0264095831853953,0.0250233848144643,0.0278267441403684,0.0184094023491183,0.0368981296493008,"Change Point",0.466666666666667,0.1
0.101303133380086,0.00382157344144168,0.00415557909905616,0.0034875677838272,0.00267825293740225,0.00331417908501674,0.00334126788697333,0.00282317167529563,0.00284727469832495,0.00359549461919215,"Individual hi",0.493333333333333,0.1
0.00339519239743048,0.0279996495249369,0.0275032161924407,0.0284960828574332,0.0140021825679001,0.0251879406775369,0.0238650214783239,0.0267097003534219,0.0166290177550752,0.0365313602937293,"Change Point",0.493333333333333,0.1
0.113805891692426,0.00382528374362025,0.00416494788595476,0.00348561960128574,0.00243825569782658,0.00342473156400096,0.00346261549765828,0.00290024228380917,0.00291747530222013,0.00366493359949607,"Individual hi",0.52,0.1
0.804423033886687,0.0238396426182174,0.0235717406346305,0.0241075446018042,0.0158165034725061,0.0162456326595974,0.0161355639214875,0.0165276598597706,0.0126502364813044,0.0284197488398874,"Change Point",0.52,0.1
0.127113202741845,0.00383591164746563,0.00417181983465209,0.00350000346027918,0.0021380221455282,0.00351119856039989,0.0035831676612366,0.00298197792677234,0.00299287623994724,0.0037464486994625,"Individual hi",0.546666666666667,0.1
0.140836512793352,0.0229182698982883,0.0225956690090441,0.0232408707875324,0.0172855173608812,0.0147848565019945,0.0145915669225,0.0149096380461935,0.0114211337342443,0.0262978572263798,"Change Point",0.546666666666667,0.1
0.140776945616488,0.00385828991823618,0.00418509198604903,0.00353148785042333,0.00182365909565629,0.00360295477859,0.0037087001369472,0.00306679540035167,0.0030713073176207,0.00383565446467969,"Individual hi",0.573333333333333,0.1
0.000566162934716154,0.0217707522763487,0.0215018726158832,0.0220396319368141,0.0180832273886332,0.013378054920455,0.0133412309259251,0.013378054920455,0.0104396402362161,0.0238967141717041,"Change Point",0.573333333333333,0.1
0.154393862596038,0.00389341107532255,0.00420962330023064,0.00357719885041447,0.00153286979902499,0.00367833737098506,0.00383304592478137,0.00315240518176041,0.0031541805695922,0.00392942272279241,"Individual hi",0.6,0.1
0.0316698645890108,0.0206133870082606,0.0203540520008609,0.0208727220156603,0.0190206125958063,0.0119127472210549,0.012105248324263,0.0115282008596709,0.00960196441445384,0.0198476581275992,"Change Point",0.6,0.1
0.167856019171168,0.00394125973239073,0.00424833005101908,0.00363418941376237,0.00128828606586178,0.003773249937303,0.00395409277363714,0.00324138932503188,0.00324798071587705,0.00403426597847542,"Individual hi",0.626666666666667,0.1
0.350530615992578,0.0195483675847059,0.0191667521936841,0.0199299829757276,0.0194973235649983,0.0108985922941365,0.0110214108985173,0.0102875957801627,0.00858433708156374,0.0174000832363413,"Change Point",0.626666666666667,0.1
0.181017758872835,0.00399966499839686,0.00430037832350371,0.00369895167329002,0.00109796749513039,0.00388374896533191,0.00407815321994392,0.00333613273103354,0.00334074666778394,0.00412736433035377,"Individual hi",0.653333333333333,0.1
0.0891929145523611,0.0186104817079642,0.0181294754097195,0.019091488006209,0.0198503860098209,0.00998464122179323,0.0101424543712229,0.00904822170017225,0.00800140618478773,0.0156251130346524,"Change Point",0.653333333333333,0.1
0.193925483914269,0.00406665887164327,0.00436434896844844,0.00376896877483811,0.000959610487157031,0.00399480003875571,0.00419805760151062,0.0034205400888334,0.00342277515168658,0.00422923955516943,"Individual hi",0.68,0.1
0.717391560445901,0.0176904751679019,0.0172405287374582,0.0181404215983455,0.0198409518047222,0.00931049924495244,0.00946393800064368,0.00831909466143979,0.00743673280129282,0.0142649320013491,"Change Point",0.68,0.1
0.206558647584642,0.00413944046267749,0.0044371599484169,0.00384172097693808,0.000864159017947858,0.00408242064649853,0.00430722224195464,0.00350857649795793,0.00351518148925078,0.00434407140438525,"Individual hi",0.706666666666667,0.1
0.744963481254212,0.0167973560715404,0.0163635732915249,0.0172311388515559,0.0194426539322281,0.0086969014551095,0.00893765159071267,0.00775568337317741,0.00726262902715456,0.0129876421978718,"Change Point",0.706666666666667,0.1
0.219028685467677,0.00421675410957695,0.0045171689099787,0.00391633930917519,0.000800193329795533,0.00417669555982079,0.00441844777820549,0.00360482732136592,0.00361131317381386,0.00444476147842413,"Individual hi",0.733333333333333,0.1
0.888680070052056,0.0159381201344223,0.01554728515083,0.0163289551180146,0.0188874870581632,0.00829045182473373,0.00836828150384122,0.00741321227482263,0.00718447926896239,0.011995648264912,"Change Point",0.733333333333333,0.1
0.231365425970159,0.00429693160884122,0.00460203268402133,0.00399183053366111,0.000757741099391293,0.004275092474509,0.00452829334377959,0.00369127677957039,0.00369316123953292,0.00454754210555544,"Individual hi",0.76,0.1
0.448162628899245,0.0150784953508181,0.014744737948407,0.0154122527532293,0.0181183609839566,0.00796244009260428,0.00814557042219402,0.00723199537497981,0.00711636533816471,0.0111325438909531,"Change Point",0.76,0.1
0.243578443554489,0.00437870854874706,0.00468991928718439,0.00406749781030973,0.000729045316457907,0.00437784357880108,0.00463486382099117,0.00376494544717815,0.00376696292076706,0.00464168981062581,"Individual hi",0.786666666666667,0.1
0.681855622609365,0.0142663918424098,0.0139796711964591,0.0145531124883604,0.0171753755328296,0.00773420598790997,0.007983430537283,0.00712284678633627,0.00706224738911957,0.0103941765989393,"Change Point",0.786666666666667,0.1
0.255717064923256,0.00446154054591552,0.00477988585116757,0.00414319524066348,0.000708902252548279,0.00446561461337822,0.00473419483365135,0.00383054395122915,0.00383249498980175,0.00474346141685947,"Individual hi",0.813333333333333,0.1
0.57086970052753,0.0134986807839067,0.0132764986193413,0.0137208629484721,0.0161445764678585,0.00759948562817098,0.00786763770828211,0.00704596871965686,0.00700583107964546,0.00977233239581443,"Change Point",0.813333333333333,0.1
0.267741291950083,0.00454431670801679,0.00487031313339652,0.00421832028263705,0.000694013829198654,0.00456587071636297,0.00482787946026459,0.00389608308953107,0.00389788487895256,0.00484344152984214,"Individual hi",0.84,0.1
0.70466043839864,0.0127689490180408,0.0126142308999966,0.012923667136085,0.0150200618278721,0.00753678425025238,0.0077864732012437,0.00694885918297883,0.00693989184060773,0.00921093821701018,"Change Point",0.84,0.1
0.279576418037461,0.00462630426558847,0.00496017340820728,0.00429243512296967,0.000682434889105957,0.00465220345256744,0.00491838107630483,0.00396116761965744,0.00396289943358658,0.00494207061177649,"Individual hi",0.866666666666667,0.1
0.194553827129423,0.012078757864833,0.0119817669309391,0.012175748798727,0.0137802737577761,0.0074108247623816,0.00773060805400158,0.00682869640115605,0.00684749604560478,0.00889234753743894,"Change Point",0.866666666666667,0.1
0.291287431409223,0.00470776074033457,0.00504959324040263,0.0043659282402665,0.000672934104476264,0.00474811735768531,0.00500769626690545,0.00402612110748517,0.00402777974274828,0.00503956844266348,"Individual hi",0.893333333333333,0.1
