"pval","Variance_hat","Variance_hat_comp1","Variance_hat_comp2","sdVariance_hat","Median_Variance","Median_Variance_comp1","Median_Variance_comp2","Q1_Variance","Q3_Variance","Method","delta","sigma"
0.00158044685131364,0.00201251248245145,0.00196608156225763,0.00205894340264528,0.000895524832536378,0.00176262222899136,0.00167989571524602,0.00185936710829245,0.00134744209434387,0.00237878296239168,"Individual hi",0.05,0.1
0.0352524345944107,0.00559185400570586,0.00548427160170681,0.0056994364097049,0.0010850576848621,0.00537526908792066,0.00518688864549372,0.00557949145816932,0.00461380337166417,0.00646820625096579,"Change Point",0.05,0.1
0.00268149006725629,0.00209261837822017,0.00207915694911201,0.00210607980732832,0.00108827276302271,0.00149157096701646,0.0014791695757084,0.00154055553257068,0.00138521361271334,0.00292840989838091,"Individual hi",0.125,0.1
0.387202224198458,0.00696902093377068,0.00690392497566549,0.00703411689187587,0.00139830614859871,0.00646772213227248,0.00621039189127137,0.00672719241274843,0.00590521708476726,0.00787196531102208,"Change Point",0.125,0.1
0.00927720035939321,0.00285477701243533,0.00282893866101491,0.00288061536385575,0.00118377146937679,0.00258384871033447,0.00219540626656341,0.00313204479001536,0.00189349828604516,0.00331262413661536,"Individual hi",0.2,0.1
0.953340459665686,0.010285047900688,0.0101148973190775,0.0104551984822986,0.00169443405365672,0.0104950521723752,0.00930964542227376,0.011082670912439,0.00862717342307073,0.0114600382926039,"Change Point",0.2,0.1
0.0119941206624561,0.00357447783168438,0.00348708379553634,0.00366187186783242,0.00104945857974779,0.00335745397890533,0.00283583056494948,0.00350873131048292,0.0027427741135042,0.00390141449132815,"Individual hi",0.275,0.1
0.0935514303363304,0.0153902526208509,0.0149046023933297,0.015875902848372,0.00183285246181438,0.0155536210935205,0.014132303932071,0.0160550971014918,0.0139968856851536,0.0165771136162436,"Change Point",0.275,0.1
0.00994667266031299,0.00371259678672243,0.00346186795030996,0.0039633256231349,0.0012859750964291,0.00322639852756748,0.00294421293781812,0.00329524001859746,0.00289733487174865,0.00443121145875345,"Individual hi",0.35,0.1
0.145997922842134,0.0220890650748474,0.0218579313947819,0.022320198754913,0.00231624918068061,0.0220800372806996,0.0209444881734983,0.0224471936719034,0.0204392202988808,0.0231542769753941,"Change Point",0.35,0.1
0.00962267171266482,0.00369787006049733,0.00342890277904171,0.00396683734195296,0.00134363963676912,0.0031896787230466,0.00290938943929796,0.00325211386555533,0.00286335302176795,0.0043713376157097,"Individual hi",0.36,0.1
0.105636252209436,0.023108130577606,0.0229258331882686,0.0232904279669434,0.00259655319964553,0.0233098320805251,0.0222819928709227,0.0235198874440445,0.0208812515229427,0.0246183711065401,"Change Point",0.36,0.1
0.00889576477321866,0.00367664671892479,0.00336619309540784,0.00398710034244174,0.0015428505638506,0.00311693106249468,0.00278638683323141,0.00320293400739991,0.00278973060430273,0.00426979812913775,"Individual hi",0.386666666666667,0.1
0.00529492812610443,0.0252297137126108,0.0256807704604847,0.0247786569647368,0.00320074606292704,0.0247110616703191,0.0253990160693355,0.0237940977800593,0.0232607884845944,0.0270149267624938,"Change Point",0.386666666666667,0.1
0.00840425394811507,0.00369915930254148,0.0033530035256359,0.00404531507944705,0.00185202868071349,0.00308009821438831,0.00274759361762013,0.00315082955697417,0.00275092186431227,0.00414116441019822,"Individual hi",0.413333333333333,0.1
0.841013411758639,0.0268951050243052,0.0282165096662994,0.025573700382311,0.0044940546750496,0.0270286103557877,0.027538627551988,0.0235956822755413,0.023793682550413,0.0293386470484825,"Change Point",0.413333333333333,0.1
0.00816751327080403,0.00377296468605783,0.00339129895100189,0.00415463042111377,0.00231149561887357,0.00307464780178304,0.00268106931922209,0.00315032300448672,0.00269405289638615,0.00403999183088881,"Individual hi",0.44,0.1
0.193851469027733,0.0285458561052632,0.0299368848198483,0.027154827390678,0.00562159768453672,0.0287386564786365,0.0297048744159328,0.0241483198223978,0.0242097799706573,0.0317913511432258,"Change Point",0.44,0.1
0.00816315382639198,0.00389045050564104,0.00347076840636226,0.00431013260491982,0.00292591117222452,0.00310911433879369,0.00264885724648615,0.00318245061415934,0.00269484389901402,0.00391519806417704,"Individual hi",0.466666666666667,0.1
0.510039296427969,0.0299281028026261,0.0325921472911378,0.0272640583141144,0.00734926904104742,0.0305836018601635,0.0325632926737763,0.0232288623153122,0.0232631481986776,0.0347856097041905,"Change Point",0.466666666666667,0.1
0.00834265345290929,0.00403497701296529,0.00357695608355658,0.00449299794237399,0.00365867704911244,0.00315332092493797,0.0026450444748898,0.00324044243949086,0.00266258893838639,0.00392646245506166,"Individual hi",0.493333333333333,0.1
0.0371753340696178,0.0293669118732881,0.0314789911851,0.0272548325614762,0.00969879847270377,0.0285389332418112,0.0315664671148698,0.0218458084316434,0.0206625865008169,0.0360298937533453,"Change Point",0.493333333333333,0.1
0.00865814362132989,0.0041887873408758,0.00369858030108661,0.00467899438066499,0.00442582692608682,0.00321529772628619,0.00264615434782156,0.00332760376774498,0.00266316431136539,0.00397199786330923,"Individual hi",0.52,0.1
0.00964325769528287,0.0295606381044324,0.0321287849433351,0.0269924912655297,0.0116131360030914,0.0287337752133014,0.0321737794765578,0.0205825667146153,0.019098402741013,0.0364294718542185,"Change Point",0.52,0.1
0.00907024249620797,0.00433812787242609,0.00382531337944286,0.00485094236540932,0.00513480604690591,0.00329091553538437,0.00268038260557153,0.00340655316902037,0.00268575352907749,0.00404420898108894,"Individual hi",0.546666666666667,0.1
