"pval","Variance_hat","Variance_hat_comp1","Variance_hat_comp2","sdVariance_hat","Median_Variance","Median_Variance_comp1","Median_Variance_comp2","Q1_Variance","Q3_Variance","Method","delta","sigma"
6.23038569263271e-07,0.00191447632356599,0.00171845933442344,0.00211049331270854,0.0012867356515873,0.00134219599834481,0.00134887639620785,0.00134219599834481,0.00108934864604551,0.00218527939412329,"Individual hi",0.05,0.1
0.369071226061175,0.00589812736500363,0.00574834278599273,0.00604791194401452,0.00152562703242921,0.0054502213451398,0.00541487675420885,0.00548916920515797,0.00460631903424736,0.00675722702028215,"Change Point",0.05,0.1
1.00677780601137e-06,0.00232014637006718,0.00200297283682273,0.00263731990331163,0.00141494695613696,0.00182676465859522,0.00183289514570335,0.00176731424718877,0.00157754679023129,0.00234624385821971,"Individual hi",0.125,0.1
0.202923728058814,0.00756190086523146,0.00730152007351735,0.00782228165694556,0.00175808094647756,0.00721999068050849,0.0072547111064097,0.00716604396761731,0.00617227605908732,0.0082526451852311,"Change Point",0.125,0.1
5.36899868517873e-06,0.00301265017141487,0.00252724255446237,0.00349805778836738,0.00157405786484493,0.00256870729690403,0.00254889673986821,0.00273909441105808,0.00227381729468812,0.00288961700999276,"Individual hi",0.2,0.1
0.94953284197549,0.011022080183838,0.0104572314119243,0.0115869289557516,0.00180203949143911,0.0104526319738351,0.0104288600349277,0.0105366241128685,0.0101017268715556,0.0109187525383047,"Change Point",0.2,0.1
6.53323508859465e-06,0.00303052455779903,0.00256582428272025,0.0034952248328778,0.00161706462973611,0.00236676635121795,0.00219492105289521,0.0030110555858296,0.00200448538218455,0.00379422338041107,"Individual hi",0.275,0.1
0.721422678122948,0.016130696781722,0.0153888510971226,0.0168725424663214,0.0021703302741908,0.0157582523917734,0.014849797778794,0.0161186920824462,0.0147152552683632,0.0170654838858792,"Change Point",0.275,0.1
4.41765897138612e-05,0.0033716655573993,0.00293325718439919,0.00381007393039941,0.00165685802348425,0.00263719971759626,0.00240043784982737,0.00342545243593041,0.00215912326495829,0.00442742596212612,"Individual hi",0.35,0.1
0.358578878523317,0.0225758841894865,0.0218066160699397,0.0233451523090334,0.00288873520234704,0.0224518051788319,0.021973541014966,0.022765128682743,0.0212564646057344,0.0243075086460093,"Change Point",0.35,0.1
6.26112377898437e-05,0.00342762336071022,0.00299474479828061,0.00386050192313983,0.00171497284166199,0.0026379112136266,0.00239321920468771,0.00344828446543309,0.00216617601763311,0.00442973192218477,"Individual hi",0.36,0.1
0.0169021985508527,0.0235013286651232,0.022701120610906,0.0243015367193403,0.00311538968809747,0.0232168063407778,0.0228305055233297,0.0236562914254794,0.0221666771072315,0.0254443317565766,"Change Point",0.36,0.1
