"pval","Variance_hat","Variance_hat_comp1","Variance_hat_comp2","sdVariance_hat","Median_Variance","Median_Variance_comp1","Median_Variance_comp2","Q1_Variance","Q3_Variance","Method","delta","sigma"
4.75184655384849e-05,0.00202812479440837,0.00221139991988316,0.00184484966893357,0.00134204784270653,0.00148105958536334,0.00150944041745785,0.00144239253092582,0.0012972136361885,0.00224405754329386,"Individual hi",0.05,0.1
0.907435178666064,0.00626604518614633,0.00647501273271347,0.00605707763957919,0.00126639143970032,0.00555395065841006,0.00566129512206749,0.00549694059943587,0.00537174923968136,0.00704980908893384,"Change Point",0.05,0.1
8.61483485956317e-05,0.0023482246055702,0.00261002523506844,0.00208642397607197,0.00135611226298464,0.00183364237915776,0.00197280812037277,0.00174094258241191,0.00155755941450702,0.00229750117154637,"Individual hi",0.125,0.1
0.706759548182676,0.00806150007796708,0.00836239566503421,0.00776060449089995,0.00153908919291852,0.00737515612109621,0.00741448873865152,0.00735220451865053,0.00712409041015054,0.00871192878270157,"Change Point",0.125,0.1
0.00207295289139158,0.00380855131310844,0.00427513939311382,0.00334196323310305,0.00144751667414335,0.0033014402504212,0.00372272972204562,0.00321403457354696,0.00309901334790247,0.00389030900472577,"Individual hi",0.2,0.1
0.797741559134813,0.0119544307214183,0.0125510155365859,0.0113578459062506,0.00189642645669918,0.0111913975119923,0.0120665822205099,0.0111271385608518,0.0108105595171288,0.0130305619078534,"Change Point",0.2,0.1
0.00271531278631413,0.00360575343048045,0.00404132652399133,0.00317018033696958,0.00141223185854881,0.00374412263066749,0.0039271909822711,0.00292695636890414,0.00263141812761098,0.00407347659621102,"Individual hi",0.275,0.1
0.521382473928743,0.0173140468558107,0.0179898523717382,0.0166382413398833,0.00192800633986073,0.0165727767468138,0.0178847572584157,0.0164279322314807,0.0158555302622924,0.0182182070676014,"Change Point",0.275,0.1
0.00288191707994251,0.00379673882452384,0.00422152800682478,0.00337194964222291,0.0016007709648538,0.00338175412949636,0.00415095182054494,0.00274447280518713,0.00274530559280809,0.00471816058755747,"Individual hi",0.35,0.1
0.443976549250841,0.0243836730785104,0.0250335776959457,0.0237337684610751,0.00219127974777372,0.024460698928452,0.0248828766977206,0.0227853070897721,0.0224862058597582,0.0258418489081494,"Change Point",0.35,0.1
