"pvalues","Fission"
0.00197536556381123,"Marginal thinning"
0.0539060826491071,"Conditional thinning"
0.106795338206751,"Marginal thinning"
0.807216199859694,"Conditional thinning"
0.00692437873849901,"Marginal thinning"
0.241423526878703,"Conditional thinning"
0.00364646842718434,"Marginal thinning"
0.947636156263365,"Conditional thinning"
0.000172228027511506,"Marginal thinning"
0.286035620854071,"Conditional thinning"
0.00432875925224712,"Marginal thinning"
0.633751715325523,"Conditional thinning"
5.210257562508e-05,"Marginal thinning"
0.864400360117727,"Conditional thinning"
0.132862678182265,"Marginal thinning"
0.522168350004939,"Conditional thinning"
0.00827226267668182,"Marginal thinning"
0.697628522252515,"Conditional thinning"
0.000188904450829741,"Marginal thinning"
0.641250253301623,"Conditional thinning"
0.0106389270275538,"Marginal thinning"
0.829856280130735,"Conditional thinning"
0.000346659406943059,"Marginal thinning"
0.186380610100739,"Conditional thinning"
0.00227140173285389,"Marginal thinning"
0.866094852911204,"Conditional thinning"
0.00434283182851689,"Marginal thinning"
0.809712457982639,"Conditional thinning"
0.0206118155736318,"Marginal thinning"
0.359338715743731,"Conditional thinning"
0.000678941459616825,"Marginal thinning"
0.959982306699935,"Conditional thinning"
0.00909829629513032,"Marginal thinning"
0.747819180016253,"Conditional thinning"
0.00184391518856493,"Marginal thinning"
0.492225976638411,"Conditional thinning"
0.0259205905947799,"Marginal thinning"
0.612772999944519,"Conditional thinning"
0.00105794128713327,"Marginal thinning"
0.50514208782016,"Conditional thinning"
0.00535715973806747,"Marginal thinning"
1,"Conditional thinning"
0.000112153954052723,"Marginal thinning"
0.895312307038701,"Conditional thinning"
0.00117202358038704,"Marginal thinning"
0.416898038707442,"Conditional thinning"
0.0436819270147227,"Marginal thinning"
0.316333348133291,"Conditional thinning"
2.70492120684709e-05,"Marginal thinning"
0.731250416798024,"Conditional thinning"
0.0834631575951504,"Marginal thinning"
0.632837823600587,"Conditional thinning"
2.85209572561894e-05,"Marginal thinning"
0.677470361278669,"Conditional thinning"
0.00241629687487446,"Marginal thinning"
0.70063273364398,"Conditional thinning"
0.0667417622000203,"Marginal thinning"
0.608275313222747,"Conditional thinning"
9.476773141876e-05,"Marginal thinning"
0.603854109805022,"Conditional thinning"
0.00183640754036218,"Marginal thinning"
0.212286224841835,"Conditional thinning"
0.000188289571674124,"Marginal thinning"
0.856059975088068,"Conditional thinning"
0.0634756045807247,"Marginal thinning"
0.147463456580655,"Conditional thinning"
0.00216807191240303,"Marginal thinning"
0.110638644766736,"Conditional thinning"
0.00569556796572231,"Marginal thinning"
0.168451201823868,"Conditional thinning"
5.50757183371568e-05,"Marginal thinning"
0.502128722649693,"Conditional thinning"
1.46020180635267e-05,"Marginal thinning"
0.232617422417503,"Conditional thinning"
0.0702974305781629,"Marginal thinning"
0.698568770223296,"Conditional thinning"
0.000352981992784766,"Marginal thinning"
0.445985534501156,"Conditional thinning"
0.00137920586538397,"Marginal thinning"
0.399778426917641,"Conditional thinning"
0.0100597768158666,"Marginal thinning"
0.315506480926185,"Conditional thinning"
0.000302410178826005,"Marginal thinning"
0.904136279587316,"Conditional thinning"
0.00610259926269112,"Marginal thinning"
0.651457953545363,"Conditional thinning"
0.0117578418433863,"Marginal thinning"
0.135696980867636,"Conditional thinning"
0.000217115152596021,"Marginal thinning"
0.258517153407661,"Conditional thinning"
0.0212238522238372,"Marginal thinning"
0.837064314230224,"Conditional thinning"
2.17196156745717e-05,"Marginal thinning"
0.531877957014796,"Conditional thinning"
0.00274662527992694,"Marginal thinning"
0.919343321708691,"Conditional thinning"
0.364776592940726,"Marginal thinning"
0.169021787361367,"Conditional thinning"
0.00449732730045093,"Marginal thinning"
0.845838040568995,"Conditional thinning"
1,"Marginal thinning"
0.865219543195508,"Conditional thinning"
0.00089030540767048,"Marginal thinning"
0.829488271932683,"Conditional thinning"
2.60784112007663e-05,"Marginal thinning"
0.567597447189507,"Conditional thinning"
0.0114192914318023,"Marginal thinning"
0.945342608707651,"Conditional thinning"
2.93256762535407e-05,"Marginal thinning"
0.542778656036802,"Conditional thinning"
0.000624313803608694,"Marginal thinning"
0.867876418841315,"Conditional thinning"
0.000324657519507044,"Marginal thinning"
0.189050580547415,"Conditional thinning"
0.00018926574847834,"Marginal thinning"
0.0925678967556475,"Conditional thinning"
0.0166234439098659,"Marginal thinning"
0.62731148474701,"Conditional thinning"
0.00189930075329593,"Marginal thinning"
0.73379949686612,"Conditional thinning"
0.000145830800846168,"Marginal thinning"
0.0737441055420858,"Conditional thinning"
0.00015227357982264,"Marginal thinning"
0.619193117049103,"Conditional thinning"
0.00110809073954728,"Marginal thinning"
0.389963818661299,"Conditional thinning"
0.00296912924122491,"Marginal thinning"
0.165201733866432,"Conditional thinning"
0.0382624971172014,"Marginal thinning"
0.0547686946884941,"Conditional thinning"
0.000237104998909596,"Marginal thinning"
0.0382266380044604,"Conditional thinning"
1.68723909932547e-05,"Marginal thinning"
0.187341254313601,"Conditional thinning"
0.00204485309834549,"Marginal thinning"
0.690038910572666,"Conditional thinning"
3.88072115489776e-06,"Marginal thinning"
0.442605369302233,"Conditional thinning"
0.000560117435488309,"Marginal thinning"
0.0942833474642545,"Conditional thinning"
0.0049273008056529,"Marginal thinning"
0.0451864641150646,"Conditional thinning"
0.0563682022313721,"Marginal thinning"
0.375265918487189,"Conditional thinning"
0.00129542971261918,"Marginal thinning"
0.430060369141854,"Conditional thinning"
0.0312965782776141,"Marginal thinning"
0.236883544341219,"Conditional thinning"
0.00240351807409062,"Marginal thinning"
0.750331716064223,"Conditional thinning"
0.00362404228512215,"Marginal thinning"
0.69076518232357,"Conditional thinning"
0.000127891117045098,"Marginal thinning"
0.818019943045706,"Conditional thinning"
0.00817733501222751,"Marginal thinning"
0.0954357297624719,"Conditional thinning"
