"pval","Variance_hat","sdVariance_hat","Time","Median_Variance","Q1_Variance","Q3_Variance","Method","delta","sigma","n"
0.00147291009409095,0.286960213704934,0.171680772645776,1.17840313911438,0.208489136408882,0.193392696350336,0.313166231631244,"Individual hi",0.5,1,20
0.0197959259319058,0.592296034320523,0.359985824676055,2.27338576316833,0.628686459912304,0.304726066152582,0.857120378948336,"Change Point",0.5,1,20
0.0239159296953417,1.83028641619999,0.427708241206226,0.00218534469604492,1.69525464059404,1.49656747186841,2.17371802208253,"Individual hi",5,1,20
0.0187655118024443,2.80448922894076,1.88103697227115,2.54199719429016,3.11921008397235,1.58450774141487,4.51575603458881,"Change Point",5,1,20
0.0147200710666545,1.22544367167253,0.314347315628683,0.0024263858795166,1.31726997506721,0.902068582269078,1.44684047721433,"Individual hi",10,1,20
0.495852535732953,2.01294422037011,1.12264500907248,2.02019119262695,1.67235614308304,1.32833364193969,2.19431044104687,"Change Point",10,1,20
0.0029667321462543,0.19743247016815,0.0733630002049856,0.00298118591308594,0.182579192965603,0.158364461898413,0.215106961817427,"Individual hi",0.5,1,50
0.104159865932096,0.551957416188955,0.094517959976818,7.4368839263916,0.553787926281942,0.480373376086095,0.589210128164331,"Change Point",0.5,1,50
0.059929696546906,0.484281712777548,0.452954830077035,0.0032343864440918,0.325943625769506,0.2822523793907,0.523489492252689,"Individual hi",5,1,50
0.88850030678696,2.97287541844222,1.30858000622596,5.91745567321777,2.99454920130714,1.83332054428489,4.29955583408722,"Change Point",5,1,50
0.0986565029147821,0.623535968729251,0.300187087566017,0.00301337242126465,0.52065080644136,0.369689356395918,0.833170758729044,"Individual hi",10,1,50
0.994933158301807,1.11399836264841,1.90594282073211,5.01529598236084,1.00440715027633,0.414066555805023,1.15116950782181,"Change Point",10,1,50
6.19438789068225e-05,0.145808650570876,0.0899426807747554,0.00514554977416992,0.131701231477925,0.0900230796170949,0.153342397443404,"Individual hi",0.5,1,100
0.862670177400938,0.571142801980541,0.104765028192992,18.3237025737762,0.56337143402783,0.487999601117437,0.60755184335103,"Change Point",0.5,1,100
0.0481878788072534,0.401454347502226,0.33104572511512,0.00521326065063477,0.325306450874648,0.268471784641291,0.438028135957268,"Individual hi",5,1,100
0.185462324223671,2.91311485598761,1.37141812077262,12.6556413173676,2.73040775544265,1.80499778322026,3.90530465138926,"Change Point",5,1,100
0.0654881272706414,0.536045916592129,0.167520817625161,0.0049891471862793,0.473696874612756,0.43808279283481,0.618309761748478,"Individual hi",10,1,100
0.182883818173851,1.11187902103411,1.47442478670335,10.3383648395538,0.781724885643338,0.718427408350924,0.893851430417404,"Change Point",10,1,100
4.95790113941712e-17,0.169607948810751,0.0935553096588299,0.0480325222015381,0.143589571883486,0.117448201192762,0.190110985874656,"Individual hi",0.5,1,500
0.00501491757602154,0.701149430517526,0.118371993450637,172.21439576149,0.689436224418449,0.596377029705208,0.776706079889468,"Change Point",0.5,1,500
4.36579098333619e-10,0.293052139008706,0.225443875316637,0.0543842315673828,0.224086926956278,0.174892733192886,0.285228257622087,"Individual hi",5,1,500
1.45289136702745e-10,4.13619100267258,0.645587672338175,101.049100637436,4.05733539248437,3.64743496898525,4.31202430527979,"Change Point",5,1,500
3.5718501298621e-07,0.36101230096231,0.117595693693151,0.0545823574066162,0.324316911007689,0.277168784572289,0.402293850926985,"Individual hi",10,1,500
0.0559924179449241,1.7802466546073,2.46086425877299,65.1076056957245,0.939624725741097,0.878064505807756,1.24445987058432,"Change Point",10,1,500
4.02624464864018e-44,0.112682686425795,0.0989184897267578,0.186641931533813,0.0744713843609329,0.0681638943459243,0.105034056083694,"Individual hi",0.5,1,1000
0.00250253323473621,0.673263641828754,0.113085034072954,488.847462177277,0.631999488057193,0.584694692617018,0.72746568307511,"Change Point",0.5,1,1000
8.2519198477993e-23,0.231441103549923,0.264902334613745,0.180944204330444,0.154735446223196,0.13398221044599,0.214771358190719,"Individual hi",5,1,1000
1.28969140554973e-12,4.02585163762601,0.79844440517394,247.9934258461,3.88647678150761,3.38416093534721,4.39446967895817,"Change Point",5,1,1000
7.23924268732223e-16,0.284915545674458,0.216187794584478,0.182034254074097,0.229785860584004,0.202109947151427,0.304105469882587,"Individual hi",10,1,1000
0.00303366231920832,1.64729490442921,2.45581338390956,157.994810581207,0.890986765428253,0.827769637282483,1.18464873584736,"Change Point",10,1,1000
