"pval","Variance_hat","sdVariance_hat","Time","Median_Variance","Q1_Variance","Q3_Variance","Method","delta","sigma","n"
0.928900165795251,0.509657064475165,0.153410254783605,1.25301170349121,0.466644774009219,0.376336490120377,0.626497039443135,"Individual hi",0.5,1,20
0.515012385855679,0.793341804153665,0.35147154673162,2.59224510192871,0.923223422541174,0.570161125112891,1.03703094970274,"Change Point",0.5,1,20
0.429359064059171,1.29602148622224,0.44179426402536,0.0022430419921875,1.28687746661494,0.904427829482366,1.37089780791602,"Individual hi",5,1,20
0.0941599681394678,3.05931064738962,1.0150589439387,2.44291639328003,2.94860159932125,2.27271928061678,3.96057113580208,"Change Point",5,1,20
0.521466206916998,1.22131066133263,0.717560156228221,0.00245022773742676,1.08515879207173,0.817275478659997,1.33436975425464,"Individual hi",10,1,20
0.264110987609376,1.84938348967856,1.73124923208008,2.11075067520142,1.583605951795,0.903569064511694,1.75641876276941,"Change Point",10,1,20
0.0098244645978811,0.289497767012068,0.119862969431063,0.00358867645263672,0.248053265188865,0.184472400196143,0.408613320893061,"Individual hi",0.5,1,50
0.0771780759338025,0.782854226392482,0.180792644355878,8.53952240943909,0.779375616916344,0.625889452745362,0.926405998890013,"Change Point",0.5,1,50
0.123223008786922,0.668790488887512,0.440518897517231,0.00308084487915039,0.616065598588574,0.376930285592401,0.686707192326044,"Individual hi",5,1,50
0.401896782932341,3.55360025939809,0.957921931132433,6.35895299911499,3.5674619349431,2.90989335318868,4.00548596257982,"Change Point",5,1,50
0.200430227961613,0.773355544511158,0.302257802114968,0.00332331657409668,0.777231555487938,0.520809744766586,0.94588469432672,"Individual hi",10,1,50
0.458701682900507,1.89884393936481,2.79011146436118,5.17000031471252,1.20240875193749,0.701179134760957,1.49688167350319,"Change Point",10,1,50
0.00417303169108568,0.214717488800482,0.117147370632658,0.00493049621582031,0.170979380566568,0.144358034966929,0.185998932713636,"Individual hi",0.5,1,100
0.0947142487894216,0.74607361573265,0.144703175756673,19.2027852535248,0.719672833407505,0.636459956600253,0.811338774311782,"Change Point",0.5,1,100
0.158417849841763,0.49906670243084,0.459657268319125,0.00574111938476562,0.355422182190411,0.327535853006109,0.496580956667398,"Individual hi",5,1,100
0.433578114735079,3.66048825188341,1.1738874104216,12.6498289108276,3.41705441416193,2.75875742724521,4.25672253213669,"Change Point",5,1,100
0.389088654333454,0.620618870399777,0.387426405631957,0.00532722473144531,0.565983031288697,0.491814543591168,0.62943518654094,"Individual hi",10,1,100
0.415302889546659,1.61594184970688,2.77455901336021,10.6054887771606,0.928253618831093,0.77756819536218,1.07518358251236,"Change Point",10,1,100
4.87172332723809e-20,0.154530932316527,0.107990302991205,0.0536801815032959,0.113020696617966,0.0968657998000032,0.161048807383435,"Individual hi",0.5,1,500
0.000477509512451401,0.58890859652279,0.113192626429915,176.467784643173,0.559046787174994,0.487079809546256,0.660465348461226,"Change Point",0.5,1,500
1.98145887026556e-14,0.255670348400946,0.302721812185987,0.0501606464385986,0.175679349059937,0.155490404575568,0.239741825214789,"Individual hi",5,1,500
0.000545298085675943,3.44599329355369,0.944685640892072,93.1252205371857,3.28303355463641,2.68572657336577,4.05673201124678,"Change Point",5,1,500
2.15496398210214e-09,0.317774551867354,0.107973844141108,0.0560259819030762,0.283739470226425,0.24617910095911,0.348007769824592,"Individual hi",10,1,500
0.147122993695517,1.19536670162814,1.60694927236207,67.4413583278656,0.811368465534196,0.661708937968404,0.926324692279763,"Change Point",10,1,500
4.61329282723398e-39,0.132694167778185,0.0957067319255839,0.177050590515137,0.0979835870289435,0.0850758026648306,0.13330242769072,"Individual hi",0.5,1,1000
0.00359342604510515,0.606100810213226,0.104554181652097,527.281459093094,0.576081386840979,0.519796161336984,0.674998377110392,"Change Point",0.5,1,1000
5.9960537727413e-27,0.21858473746466,0.269696260550941,0.187151193618774,0.143258086094323,0.133562575628787,0.187024223898436,"Individual hi",5,1,1000
4.96835543884659e-20,3.625326951467,0.911258336599349,256.270701646805,3.46380128496676,2.80354686320898,4.11551813919587,"Change Point",5,1,1000
6.98580797843417e-21,0.278542988168611,0.648940661313871,0.18438982963562,0.213536996422999,0.206588240985708,0.261993998542751,"Individual hi",10,1,1000
0.828945524865945,1.28991302571082,2.03123427277264,171.586665153503,0.773350444923461,0.730817456220171,0.885007833904704,"Change Point",10,1,1000
