"pval","Variance_hat","sdVariance_hat","Time","Median_Variance","Q1_Variance","Q3_Variance","Method","delta","sigma","n"
0.081324691466475,0.142664807340239,0.097903303314322,1.22729825973511,0.11280686164141,0.057630627197969,0.197852436894109,"Individual hi",0.5,1,20
0.392565374521686,0.36721960933306,0.149939910992511,2.1468563079834,0.28944245894376,0.256664151120388,0.463378775202461,"Change Point",0.5,1,20
0.704582317817281,0.559472065179722,0.471320380533589,0.00219488143920898,0.484391278950363,0.188319001593072,0.733066057890044,"Individual hi",5,1,20
0.181772375390284,1.53454700335484,1.92506630754326,2.20612287521362,0.806763745857327,0.3749537452672,1.35850165716598,"Change Point",5,1,20
0.789692832715852,0.577680089178607,0.302625123007738,0.00246357917785645,0.57711873747069,0.274836051355557,0.872026428886549,"Individual hi",10,1,20
0.734320420317306,0.575247088245119,0.410046342338188,1.89339900016785,0.586218250817203,0.180819821264874,0.848435930910101,"Change Point",10,1,20
0.00658555492972937,0.134439266134679,0.0548926550737353,0.0030217170715332,0.114353780416887,0.0793188435571901,0.185645017117002,"Individual hi",0.5,1,50
0.797198452738217,0.40620774059254,0.122241191593475,7.45340251922607,0.418591213007822,0.318860657272856,0.513920954975601,"Change Point",0.5,1,50
0.0824415492046025,0.408198187757205,0.434117287087918,0.00306463241577148,0.30970333623713,0.275633205726418,0.404157674188214,"Individual hi",5,1,50
0.994408358477373,1.57699724177092,1.33567853046143,5.41879844665527,0.976715798727517,0.730759322263041,1.65312092811744,"Change Point",5,1,50
0.161054679033153,0.474382413641482,0.0658074852951722,0.00300931930541992,0.484688223325781,0.406346190141242,0.541943921919926,"Individual hi",10,1,50
0.615368842652801,0.607095272018153,0.392213953423806,5.05865550041199,0.552873856393404,0.466078473745976,0.602492751304452,"Change Point",10,1,50
0.00428028724246856,0.140896191326237,0.0675401861416325,0.0113611221313477,0.135300961323087,0.0865144644269339,0.162906607108123,"Individual hi",0.5,1,100
0.877262334861713,0.482839313866463,0.103403260086466,18.8340964317322,0.481760755716247,0.3816140616013,0.5596033686792,"Change Point",0.5,1,100
0.164071986209374,0.3391436112882,0.223393792170763,0.00513029098510742,0.256751176997437,0.235200640203086,0.37272422814084,"Individual hi",5,1,100
0.00191787540437347,2.41020864554288,1.03745588252258,12.7878048419952,2.10908868299196,1.49221668906912,3.18463842889908,"Change Point",5,1,100
0.470218333112647,0.469663290151484,0.101135394765095,0.00529980659484863,0.440814558004356,0.388961617521559,0.507353973294686,"Individual hi",10,1,100
0.150335593556753,0.874507476144604,0.775373183837397,10.7531318664551,0.741867908879455,0.540295494488359,0.832978441186483,"Change Point",10,1,100
1.10702615118113e-14,0.164830842135185,0.101647510480805,0.0515408515930176,0.124422187324682,0.113140100700217,0.181387132881198,"Individual hi",0.5,1,500
0.241925596306334,0.67454213749458,0.120238912844803,175.934600830078,0.64502074467044,0.569645075384594,0.750988645203652,"Change Point",0.5,1,500
1.92296517624958e-08,0.283247654711592,0.282750225323149,0.0502145290374756,0.216872147631783,0.186999238820452,0.267760606752837,"Individual hi",5,1,500
9.69562122435752e-13,3.89767746519282,0.837419410916878,103.518849611282,3.96957576913112,3.31532035691246,4.36538349906848,"Change Point",5,1,500
2.83150437076894e-06,0.37748425054001,0.445721062081482,0.188156127929688,0.318166779635237,0.282573991549301,0.364774930440032,"Individual hi",10,1,500
0.110426514458837,1.58457175765355,2.49291314461991,67.2537882328033,0.929317435809237,0.781993743150742,1.11726163886824,"Change Point",10,1,500
5.98837842613004e-35,0.14771735385988,0.115949035975002,0.184008598327637,0.10978383605105,0.0939180193173218,0.155999971011213,"Individual hi",0.5,1,1000
0.00496304423483412,0.698905653486143,0.123662916211723,519.076043605804,0.67421046242975,0.595512841885945,0.780965638107471,"Change Point",0.5,1,1000
5.30100793410102e-26,0.229767627131325,0.213801461370822,0.193370580673218,0.154437804623573,0.144450396402973,0.229771326613073,"Individual hi",5,1,1000
1.75537816215631e-11,4.12695451395634,0.807402763977416,281.043787479401,4.24885006012072,3.4800637031321,4.42602535424631,"Change Point",5,1,1000
2.2380471338784e-17,0.310780771602066,0.618868689942165,0.188169002532959,0.229575288039316,0.215411472244208,0.307334008816238,"Individual hi",10,1,1000
0.768548442519116,1.65657324793227,2.27669214993715,171.263099431992,0.933896686283724,0.865761275277387,1.17738118730827,"Change Point",10,1,1000
