"pval","Variance_hat","sdVariance_hat","Time","Median_Variance","Q1_Variance","Q3_Variance","Method","delta","sigma","n"
0.654755132214735,0.487977505374173,0.159006342485002,1.21567797660828,0.430545974462506,0.391646264157141,0.555944324156382,"Individual hi",0.5,1,20
0.478689864098087,1.18304287184136,0.240126019776765,2.50730299949646,1.17273225656261,1.02038067923608,1.26478460238135,"Change Point",0.5,1,20
0.805969938921791,2.790981387429,0.360617167896,0.00218749046325684,2.84876498983043,2.56035087156517,2.96626110595266,"Individual hi",5,1,20
0.280877179388467,5.20605078066403,1.03390042190106,2.55064272880554,5.37007841734199,4.91066197078033,5.87668724827578,"Change Point",5,1,20
0.901186488402642,1.90067521788062,0.554387323999407,0.00240898132324219,1.78262422823182,1.65091608786506,2.00394656199889,"Individual hi",10,1,20
0.0708911894600664,4.94621189875885,4.33785859512053,2.30079078674316,2.73383349891936,2.20010391647261,5.76658759279081,"Change Point",10,1,20
0.0620111568838653,0.413054660067261,0.126597791535422,0.0033116340637207,0.399884437683496,0.301778020932622,0.467005736073644,"Individual hi",0.5,1,50
0.271391021269979,1.16120286842798,0.204300019446216,8.04092025756836,1.189476153918,0.96968961959386,1.27650544995748,"Change Point",0.5,1,50
0.910848540153441,1.05658087441466,0.450636289881339,0.00302314758300781,0.887069560630032,0.68988264404908,1.39100354705038,"Individual hi",5,1,50
0.592192296512255,5.04738765750277,0.677285072142413,6.75459051132202,4.92071083812357,4.64551446205671,5.61957463014012,"Change Point",5,1,50
0.875570833684097,1.08721612057256,0.441886650796535,0.00332975387573242,1.02657243538129,0.713100847079416,1.4540475143788,"Individual hi",10,1,50
0.927999177714355,3.92329873373003,3.97501410405373,5.21925830841064,2.28491847653254,1.02740868206318,4.68470037343703,"Change Point",10,1,50
0.00123417341363751,0.324618178582756,0.11340108228755,0.00494980812072754,0.306585992107652,0.250774178253511,0.328845355349975,"Individual hi",0.5,1,100
0.00195076762479243,0.933367334081743,0.150023146259132,18.7495441436768,0.945959125474678,0.797576665383147,0.996922358822104,"Change Point",0.5,1,100
0.0150942513320627,0.659526074462937,0.274003226346,0.00502634048461914,0.599331847395452,0.484473031905607,0.652607528671233,"Individual hi",5,1,100
0.079884524524206,4.51717197675414,0.397325031977849,15.1505391597748,4.42710953060228,4.17986448379481,4.82047840172141,"Change Point",5,1,100
0.0353878377079388,0.761895510772352,0.265436252553896,0.0053105354309082,0.762736427284433,0.593274050064598,0.830081769546957,"Individual hi",10,1,100
0.403430568741387,2.99557899516716,3.76075260877902,11.0348932743073,1.64458366173087,1.09687143564097,2.66047672801424,"Change Point",10,1,100
2.03606594559007e-13,0.20080656893316,0.132950186079818,0.0572106838226318,0.1509211161783,0.134220103369469,0.221988173768142,"Individual hi",0.5,1,500
6.33891673902311e-07,0.78420618105166,0.14203066790971,180.083784341812,0.749303655617922,0.665694157655543,0.869127205841935,"Change Point",0.5,1,500
9.76994958194884e-09,0.31911458676706,0.298806325707262,0.0559983253479004,0.228999349181369,0.202448451601071,0.260890814998633,"Individual hi",5,1,500
7.68522294935744e-07,4.38712244019033,0.685862851356014,107.502286911011,4.27870309855032,3.95707242337374,4.6133474650509,"Change Point",5,1,500
2.13752489621204e-06,0.385464469868823,0.182275647100765,0.0555059909820557,0.339864237272166,0.313623120227025,0.384548242891542,"Individual hi",10,1,500
0.938174190879991,1.8566520295285,2.5863653655748,68.6773629188538,1.06151258098453,0.982394662446175,1.28692651036183,"Change Point",10,1,500
9.6247221037829e-44,0.12332063006,0.105264311762159,0.178584337234497,0.097590725743053,0.0748066487395673,0.118141291090549,"Individual hi",0.5,1,1000
0.00937772078110966,0.7195179339759,0.130090758859828,517.855335235596,0.699046032533887,0.606570125197913,0.800806713145884,"Change Point",0.5,1,1000
3.37991912491741e-24,0.236493122130193,0.21999862492224,0.187880039215088,0.164826355034988,0.144780948461365,0.223474708055049,"Individual hi",5,1,1000
6.64818583195144e-14,4.19716809284915,0.743830511518182,278.072268009186,4.08915608927267,3.60125161001913,4.48465592850475,"Change Point",5,1,1000
4.80845591398341e-16,0.306552829385909,0.490039715385879,0.181157827377319,0.241279910085847,0.222062294798307,0.304270625136805,"Individual hi",10,1,1000
0.547898793309846,1.7561339329198,2.67805141405303,173.137256860733,0.969865537313905,0.852095732500787,1.18198370289839,"Change Point",10,1,1000
