"pval","Variance_hat","sdVariance_hat","Time","Median_Variance","Q1_Variance","Q3_Variance","Method","delta","sigma","n"
0.691516786995275,0.277255929940875,0.212939613506781,1.38049960136414,0.170209496897631,0.162511013516835,0.283498234693726,"Individual hi",0.5,1,20
0.547462176509327,0.440975820201861,0.243434107424374,2.52468705177307,0.384207963083555,0.296130141074342,0.543209966576629,"Change Point",0.5,1,20
0.498633647295117,0.7608362431734,0.449499045943183,0.00223875045776367,0.610281508896004,0.486848547323665,0.772930157499621,"Individual hi",5,1,20
0.0549337788857956,2.35135648152141,1.34259537908711,2.18034529685974,2.01316791199011,1.31106296645114,2.82274427438642,"Change Point",5,1,20
0.477633117386856,0.789098605523207,0.199268750886806,0.00251507759094238,0.820810494931684,0.63517338043584,0.899792925305727,"Individual hi",10,1,20
0.100008369367428,0.866372001609753,0.340864892665772,2.01292395591736,0.785432560210081,0.620169744664761,0.967129564143369,"Change Point",10,1,20
0.000617930380698978,0.231012107410048,0.114468518996201,0.00305724143981934,0.190180884312282,0.165725691175715,0.219324634334723,"Individual hi",0.5,1,50
0.571343374042943,0.591669516149482,0.133637713597771,8.69209694862366,0.566782800119929,0.496099541346042,0.625104139079971,"Change Point",0.5,1,50
0.00820281577476748,0.561789575869763,0.590076911330087,0.00308942794799805,0.389802455158905,0.343774658935008,0.555728757004136,"Individual hi",5,1,50
0.219571576856324,2.75469793429753,1.40558010145049,5.87039375305176,2.45080875322133,1.65366938625954,3.65010327451238,"Change Point",5,1,50
0.0605136064127327,0.62066656465705,0.0904582731040698,0.0030977725982666,0.600538853644641,0.57183105631319,0.630799989164874,"Individual hi",10,1,50
0.260788898512378,1.15994301503673,1.80068093092194,5.02841377258301,0.760905287367795,0.709731757184825,0.878249227218048,"Change Point",10,1,50
0.00111055946099089,0.184848411283571,0.0815059370807822,0.00519371032714844,0.166380506863695,0.112647830705553,0.250480308276262,"Individual hi",0.5,1,100
0.0953135855450984,0.633973082244227,0.135415856270498,18.6752228736877,0.644078915125056,0.500462951712678,0.748466563835457,"Change Point",0.5,1,100
0.0648072774546602,0.456985895356454,0.558593287230322,0.00530886650085449,0.273022975828122,0.242690875888368,0.402171104598453,"Individual hi",5,1,100
0.0267800659616943,2.93830464994505,1.39904019024366,11.8062770366669,2.494585253892,1.90830030600959,3.75348586008753,"Change Point",5,1,100
0.548522841344391,0.495310938575284,0.130849682578448,0.00506091117858887,0.466245850878571,0.403944691545628,0.546562708851189,"Individual hi",10,1,100
0.690306010638981,1.19015278617552,1.80617600645025,10.539938211441,0.73682935839788,0.646025674657693,0.812022751404021,"Change Point",10,1,100
1.94688064845827e-18,0.183778814098389,0.134512866505236,0.0470049381256104,0.136976277372425,0.115663779120068,0.180179128845028,"Individual hi",0.5,1,500
0.00313606130416179,0.716250644365703,0.137796907832746,182.046650886536,0.676865466009314,0.598543752957462,0.803676774821318,"Change Point",0.5,1,500
4.30948411948366e-14,0.29443922248321,0.281041672254138,0.0552206039428711,0.198556809306098,0.177388712872708,0.288093852055902,"Individual hi",5,1,500
4.99378449553849e-07,4.09429472421405,0.816351292976323,99.1129958629608,4.12053379692148,3.33475558032029,4.49865030041777,"Change Point",5,1,500
7.40763888586341e-11,0.367565304368072,0.160952587524292,0.0499260425567627,0.310012148329136,0.281566838602789,0.392830967361249,"Individual hi",10,1,500
0.609497920437166,1.63313347188608,2.16292691854862,67.4941260814667,0.944320315109321,0.883253100938465,1.22973510601396,"Change Point",10,1,500
3.16484438872174e-41,0.137592221664253,0.111346069996483,0.186879634857178,0.0961864651804292,0.0840971005383359,0.139089355201347,"Individual hi",0.5,1,1000
0.000354154258661282,0.669320850479518,0.125056041865767,538.030952453613,0.633147475074956,0.567483141563721,0.745185883510365,"Change Point",0.5,1,1000
9.36076379692075e-29,0.226369248591551,0.227230428830975,0.185650825500488,0.149903935856786,0.139166964013449,0.213787711288228,"Individual hi",5,1,1000
3.92102495322789e-13,3.86010736554282,0.791921099463611,269.116696834564,3.85723542636055,3.07850859400978,4.27565699666503,"Change Point",5,1,1000
3.85811968149249e-18,0.346005449383668,1.21163800149727,0.191320419311523,0.223974971528606,0.20652452856546,0.293543582809699,"Individual hi",10,1,1000
0.86097520777829,1.6045427686674,2.39845386586578,174.072936058044,0.908942225272063,0.846557841667114,1.15014731850035,"Change Point",10,1,1000
